,loan_amnt,term,int_rate,installment,sub_grade,emp_title,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,acc_now_delinq,delinq_amnt,collections_12_mths_ex_med,application_type,credit_hist_years,prob_paid_back,loan_status,cagr
1117949,35000.0,0,16.49,1238.98,2,45639,1,4,185000.0,1,4,13.76,0.0,729.0,0.0,8.0,0.0,32043.0,110.3,11.0,0.0,0.0,0.0,0,7.1,0.9156416654586792,1,0.012113898988902028
1119243,1125.0,0,17.14,40.19,3,59913,3,4,23000.0,9,2,26.98,0.0,719.0,1.0,7.0,0.0,5561.0,78.3,12.0,0.0,0.0,0.0,0,9.3,0.9137721061706544,1,0.00932027009674652
1120105,1300.0,0,15.99,45.7,1,54469,2,0,16000.0,6,4,13.95,0.0,674.0,4.0,20.0,1.0,3666.0,15.8,46.0,0.0,0.0,0.0,0,16.4,0.9101133942604064,1,0.002807495209778521
1120231,25000.0,1,6.0,533.96,4,37473,10,4,65000.0,2,32,31.46,0.0,719.0,0.0,13.0,0.0,15484.0,80.6,32.0,0.0,0.0,0.0,0,13.4,0.9522725343704224,1,0.07440634861962958
1122575,35000.0,1,18.54,899.09,5,17320,10,0,400000.0,2,4,15.18,0.0,724.0,1.0,14.0,0.0,193014.0,35.9,32.0,0.0,0.0,0.0,0,15.8,0.9509878754615784,1,0.023246783550975536
1124508,1000.0,0,16.49,35.4,2,41516,2,4,28000.0,8,4,26.66,1.0,664.0,1.0,6.0,0.0,4958.0,97.2,14.0,0.0,0.0,0.0,0,11.5,0.9387803673744202,1,0.08391284351487571
1125208,35000.0,0,16.49,1238.98,2,23204,7,0,225000.0,2,4,8.11,1.0,694.0,2.0,10.0,0.0,31953.0,8.5,24.0,0.0,0.0,0.0,0,16.6,0.9255349040031432,1,0.05164650626242495
1125610,1000.0,0,17.86,36.09,4,54709,1,4,28000.0,2,3,14.66,0.0,689.0,1.0,3.0,0.0,1086.0,90.5,8.0,0.0,0.0,0.0,0,8.9,0.901309370994568,1,0.009712037633315296
1127729,2725.0,0,15.59,95.26,0,19005,5,0,40283.0,2,47,13.65,0.0,679.0,0.0,3.0,1.0,574.0,52.2,19.0,0.0,0.0,0.0,0,17.4,0.9427567124366759,1,0.07889759160572174
1128955,6400.0,0,15.59,223.72,0,18376,6,0,48000.0,4,44,0.63,0.0,664.0,1.0,2.0,0.0,745.0,24.8,19.0,0.0,0.0,0.0,0,18.1,0.9255654811859132,1,0.0780055983520278
1130687,1000.0,0,15.59,34.96,0,34654,10,4,46000.0,1,40,21.05,0.0,679.0,0.0,9.0,0.0,10665.0,81.4,18.0,0.0,0.0,0.0,0,14.1,0.9304480552673341,1,0.07553546849092885
1131242,25000.0,0,15.99,878.81,1,11997,1,4,200000.0,2,4,7.62,0.0,774.0,0.0,4.0,0.0,3223.0,36.2,11.0,0.0,0.0,0.0,0,17.9,0.9034642577171326,0,-0.07684323226275848
1131705,1000.0,0,15.99,35.16,1,16237,2,4,33280.0,2,13,5.76,0.0,694.0,0.0,16.0,0.0,578.0,36.1,16.0,0.0,0.0,0.0,0,3.2,0.9151711463928224,1,0.0812210067214314
1132169,7000.0,0,15.59,244.69,0,16644,6,0,58718.0,2,4,7.53,0.0,684.0,0.0,6.0,0.0,1815.0,27.9,19.0,0.0,0.0,0.0,0,11.4,0.9010011553764344,1,0.031226203482548343
1132576,6075.0,0,16.49,215.06,2,45266,10,4,90000.0,9,4,12.52,0.0,679.0,0.0,5.0,3.0,1155.0,26.2,6.0,0.0,0.0,0.0,0,7.0,0.9389887452125548,1,0.028744441287869908
