,loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,acc_now_delinq,delinq_amnt,collections_12_mths_ex_med,application_type,credit_hist_years,prediction,cagr
1816739,1500.0,0,17.56,53.9,0,10,0,53000.0,9,38,10.17,0.0,719.0,0.0,11.0,0.0,11073.0,57.1,14.0,0.0,0.0,0.0,0,18.2,0.025772332999999998,0.022819192129115432
1230319,4000.0,0,15.61,139.86,0,3,0,37440.0,4,5,16.96,0.0,669.0,1.0,4.0,0.0,7044.0,65.8,15.0,0.0,0.0,1.0,0,14.8,0.025166065,0.053569859780703936
1279155,3500.0,0,18.24,126.96,4,2,4,135000.0,8,36,9.23,0.0,689.0,1.0,10.0,0.0,10445.0,47.9,18.0,0.0,0.0,0.0,0,16.5,0.025333852,0.05807360028263786
1652385,1600.0,0,18.61,58.34,19,3,0,124200.0,9,5,28.29,0.0,644.0,0.0,15.0,0.0,73943.0,98.1,38.0,0.0,0.0,0.0,0,17.5,0.025660187,0.09259962263881327
1895742,3000.0,0,17.77,108.12,0,1,4,73100.0,2,46,16.92,0.0,664.0,1.0,9.0,0.0,12686.0,94.0,25.0,0.0,0.0,0.0,0,10.3,0.025021553,0.09063800651943277
1235350,1000.0,0,16.99,35.65,2,7,0,48000.0,2,32,17.23,0.0,664.0,1.0,14.0,1.0,7475.0,75.5,19.0,0.0,0.0,0.0,0,14.8,0.02580285,0.0741464289713667
1136601,4725.0,0,15.99,166.1,1,4,0,135000.0,2,42,3.83,0.0,669.0,0.0,6.0,0.0,4034.0,72.0,7.0,0.0,0.0,0.0,0,8.2,0.026658475,0.08162931856766288
1245161,5000.0,0,20.99,188.35,8,10,0,80000.0,11,15,4.95,0.0,679.0,1.0,14.0,0.0,6330.0,44.9,38.0,0.0,0.0,0.0,0,23.4,0.025580525,0.09204229509641926
1867025,4000.0,0,18.75,146.12,2,2,0,125000.0,9,22,15.69,0.0,709.0,1.0,11.0,0.0,16880.0,77.1,27.0,0.0,0.0,0.0,0,11.4,0.028672367,0.09559332076397653
1347461,5000.0,0,18.25,181.39,2,3,0,120000.0,2,10,18.11,0.0,674.0,1.0,16.0,0.0,16288.0,79.1,33.0,0.0,0.0,0.0,0,31.4,0.028117537,0.093070696225259
1351881,2500.0,0,19.22,91.92,3,0,0,34908.0,6,1,16.71,0.0,679.0,1.0,9.0,0.0,8660.0,84.1,17.0,0.0,0.0,0.0,0,46.4,0.02671063,-0.1285399072074438
1842248,3100.0,0,17.77,111.72,0,10,0,59000.0,2,33,25.63,0.0,689.0,1.0,18.0,0.0,25637.0,77.0,31.0,0.0,0.0,0.0,0,15.9,0.025331229,0.0906420224061022
1284802,4000.0,0,18.92,146.47,3,10,0,57000.0,4,32,1.26,3.0,664.0,0.0,9.0,0.0,536.0,53.6,22.0,0.0,0.0,0.0,0,24.2,0.026312082999999997,-0.02781746979883004
1840832,1000.0,0,18.49,36.4,1,10,0,43000.0,12,26,20.57,0.0,719.0,0.0,8.0,0.0,9454.0,70.6,15.0,0.0,0.0,0.0,0,12.2,0.02594465,0.09427800886266137
1195819,3600.0,0,16.99,128.34,2,10,0,60000.0,2,32,7.38,0.0,664.0,0.0,5.0,0.0,1971.0,31.3,14.0,0.0,0.0,0.0,0,17.2,0.025629192999999998,0.04311528229616779
1142130,1600.0,0,15.99,56.25,1,10,3,82000.0,9,36,27.63,0.0,729.0,1.0,12.0,0.0,40895.0,72.4,25.0,0.0,0.0,0.0,0,21.4,0.026721627,0.07925862387531367
1277803,1500.0,0,16.29,52.96,1,6,3,45000.0,2,31,11.6,0.0,679.0,1.0,12.0,0.0,8689.0,67.9,27.0,0.0,0.0,0.0,0,16.3,0.025144726000000003,0.08314537223885976
