,loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,acc_now_delinq,delinq_amnt,collections_12_mths_ex_med,application_type,credit_hist_years,test_prediction,cagr
1794613,5000.0,0,17.76,180.17,0,10,4,63180.0,2,29,7.86,3.0,674.0,1.0,9.0,0.0,4368.0,68.2,27.0,0.0,0.0,0.0,0,19.1,0.0516017137481611,0.08306229642955487
1251081,4675.0,0,20.99,176.11,8,10,4,88300.0,4,20,12.44,3.0,669.0,0.0,7.0,0.0,2640.0,80.0,29.0,0.0,0.0,0.0,0,16.6,0.05274699793415303,0.1070209433280973
1870096,35000.0,1,22.95,985.67,10,10,0,91945.0,2,26,15.92,0.0,684.0,1.0,10.0,0.0,25083.0,74.4,35.0,0.0,0.0,0.0,0,26.8,0.046954907385275794,0.10967743840462928
1349744,12700.0,0,18.25,460.73,2,8,0,125000.0,2,32,11.4,1.0,684.0,3.0,11.0,0.0,10141.0,50.7,26.0,0.0,0.0,0.0,0,18.1,0.05092553837949841,-0.07827127701956549
1230387,4000.0,0,23.43,155.74,10,10,0,100000.0,9,21,9.26,0.0,674.0,1.0,7.0,0.0,6018.0,68.4,13.0,0.0,0.0,0.0,0,29.1,0.06628854088898016,0.11888055759124973
1267118,3000.0,0,24.5,118.49,12,10,0,40000.0,9,29,8.25,1.0,689.0,1.0,8.0,0.0,8806.0,56.8,20.0,0.0,0.0,0.0,0,12.5,0.059239986300818635,0.05559722006465573
1184327,5000.0,0,20.2,186.33,7,7,4,60000.0,10,20,12.98,1.0,684.0,0.0,7.0,3.0,4509.0,39.9,18.0,0.0,0.0,0.0,0,11.8,0.04628761302812332,0.09174862523898253
1848007,3600.0,0,19.05,132.06,3,10,0,75000.0,9,41,27.49,1.0,689.0,1.0,12.0,0.0,12094.0,58.1,27.0,0.0,0.0,0.0,0,23.3,0.04727419367403854,0.0970936438970238
1803082,4000.0,0,21.6,151.94,7,2,3,40000.0,11,32,4.92,0.0,669.0,1.0,5.0,0.0,3532.0,45.3,6.0,0.0,0.0,0.0,0,5.7,0.05370321207504456,0.10993791954803522
1821448,14000.0,0,19.52,516.88,3,5,0,105000.0,1,4,10.95,0.0,669.0,0.0,14.0,0.0,25759.0,85.3,28.0,0.0,0.0,0.0,0,19.8,0.05199513019164585,0.09947467364810847
1828281,3200.0,0,18.85,117.06,2,10,4,76000.0,6,3,17.46,1.0,664.0,1.0,6.0,0.0,25882.0,82.2,21.0,0.0,0.0,0.0,0,15.5,0.04511691092209017,0.09618376662771523
1351593,11200.0,0,18.25,406.32,2,10,4,80000.0,2,32,15.84,0.0,684.0,1.0,7.0,0.0,6957.0,91.5,10.0,0.0,0.0,0.0,0,7.3,0.049950054463031884,0.0930688689847774
1838553,5600.0,0,18.75,204.57,2,3,4,60000.0,2,41,11.28,0.0,674.0,0.0,8.0,0.0,6323.0,57.5,10.0,0.0,0.0,0.0,0,5.7,0.05345683130365534,-0.3761873972882676
1799833,4800.0,0,18.25,174.14,1,10,4,70000.0,2,32,13.05,0.0,684.0,1.0,9.0,0.0,5654.0,54.9,20.0,0.0,0.0,0.0,0,14.1,0.04688213478671606,0.06884591359418346
1811894,5500.0,0,18.25,199.53,1,4,4,37000.0,2,17,14.4,0.0,674.0,1.0,4.0,0.0,5437.0,71.5,7.0,0.0,0.0,0.0,0,13.9,0.04761437288135162,0.023697044684991786
1753978,3000.0,0,18.25,108.84,2,5,0,105000.0,9,6,6.71,0.0,704.0,1.0,7.0,0.0,11075.0,71.5,11.0,0.0,0.0,0.0,0,19.0,0.052991666253759014,0.09306430080358408
1783973,2000.0,0,19.2,73.52,2,2,0,112450.0,4,45,9.55,1.0,699.0,1.0,10.0,0.0,6219.0,61.0,26.0,0.0,0.0,0.0,0,13.4,0.04975015338747834,0.033791911155281795
1195974,20000.0,0,22.15,765.37,9,10,4,80000.0,2,32,8.85,0.0,684.0,0.0,8.0,0.0,18066.0,90.8,14.0,0.0,0.0,0.0,0,14.0,0.049392334274116566,0.11270277869980673
1759315,5000.0,0,19.22,183.84,3,10,0,95000.0,9,4,5.89,1.0,684.0,1.0,4.0,0.0,2798.0,79.9,14.0,0.0,0.0,0.0,0,24.0,0.054105832108414284,0.09895096524790327
1902666,35000.0,0,18.49,1273.96,1,10,0,300000.0,9,29,10.52,2.0,704.0,1.0,13.0,0.0,34160.0,29.9,28.0,0.0,0.0,0.0,0,22.4,0.04983359494961718,0.04431236314818277
1252925,4000.0,0,16.29,141.21,1,9,0,50000.0,1,10,21.99,1.0,674.0,0.0,8.0,1.0,5851.0,38.0,15.0,1.0,50.0,0.0,0,12.3,0.0457828887047697,0.04366633127587316
1220010,3600.0,0,23.43,140.17,10,10,4,52000.0,12,20,21.44,0.0,689.0,1.0,11.0,0.0,5951.0,72.6,26.0,0.0,0.0,0.0,0,12.7,0.06238774470218824,0.11911529705347301
1834057,12000.0,0,18.49,436.79,1,4,4,109550.0,9,35,9.31,0.0,709.0,1.0,6.0,0.0,15053.0,65.7,13.0,0.0,0.0,0.0,0,17.1,0.04748261294038697,0.0942807092631166
1900140,35000.0,0,19.72,1295.74,4,10,4,130000.0,1,10,19.54,0.0,684.0,2.0,18.0,0.0,33678.0,64.3,44.0,0.0,0.0,0.0,0,20.4,0.04677307995822212,0.06511208414529146
1302578,3200.0,0,19.99,118.91,5,1,0,42000.0,2,4,6.4,0.0,669.0,1.0,6.0,0.0,6858.0,73.0,23.0,0.0,0.0,0.0,0,19.6,0.049937637311507285,0.101112046001258
